"id","name","description"
"incoterm_02045013","02045013","Svježe ili rashlađene kozje skraćene prednje četvrtine"
"incoterm_02045015","02045015","Svježe ili rashlađene kozje slabine i/ili podslabine"
"incoterm_02045019","02045019","Svježe ili rashlađene kozje noge"
"incoterm_02045031","02045031","Svježi ili rashlađeni komadi kozjeg mesa, s kostima (osim trupova i polovica, skraćenih prednjih četvrtina, slabina i/ili podslabina i nogu)"
"incoterm_02045039","02045039","Svježi ili rashlađeni komadi kozjeg mesa, bez kostiju"
"incoterm_02045051","02045051","Smrznuti kozji trupovi i polovice"
"incoterm_02045053","02045053","Smrznute kozje skraćene prednje četvrtine"
"incoterm_02045055","02045055","Smrznute kozje slabine i/ili podslabine"
"incoterm_02045059","02045059","Smrznute kozje noge"
"incoterm_02045071","02045071","Smrznuti komadi kozjeg mesa, s kostima (osim trupova i polovica, skraćenih prednjih četvrtina, slabina i/ili podslabina i nogu)"
"incoterm_02045079","02045079","Smrznuti komadi kozjeg mesa, bez kostiju"
"incoterm_02050020","02050020","Konjsko i magareće meso, meso mula i mazgi, svježe ili rashlađeno"
"incoterm_02050080","02050080","Konjsko i magareće meso, meso mula i mazgi, smrznuto"
"incoterm_02061010","02061010","Svježi ili rashlađeni jestivi klaonički proizvodi od životinja vrste goveda, za proizvodnju farmaceutskih proizvoda"
"incoterm_02061095","02061095","Svježa ili rashlađena jestiva goveđa unutarnja prepona, mišićna i tetivna (osim za proizvodnju farmaceutskih proizvoda)"
"incoterm_02061098","02061098","Svježi ili rashlađeni jestivi klaonički proizvodi od životinja vrste goveda (osim za proizvodnju farmaceutskih proizvoda, jetre i unutarnje prepone, mišićne i tetivne)"
"incoterm_02062100","02062100","Smrznuti jestivi goveđi jezici"
"incoterm_02062200","02062200","Smrznuta jestiva goveđa jetra"
"incoterm_02062910","02062910","Smrznuti jestivi klaonički proizvodi od životinja vrste goveda, za proizvodnju farmaceutskih proizvoda (osim jezika i jetre)"
"incoterm_02062991","02062991","Smrznuta jestiva goveđa unutarnja prepona, mišićna i tetivna (osim za proizvodnju farmaceutskih proizvoda)"
"incoterm_02062999","02062999","Smrznuti jestivi klaonički proizvodi od životinja vrste goveda (osim za proizvodnju farmaceutskih proizvoda, jezika, jetre i unutarnje prepone, mišićne i tetivne)"
"incoterm_02063000","02063000","Jestivi klaonički proizvodi, od svinja, svježi ili rashlađeni"
"incoterm_02064100","02064100","Jestivi klaonički proizvodi, od svinja, smrznuti, jetra"
"incoterm_02064900","02064900","Jestivi klaonički proizvodi, od svinja, smrznuti (osim jetre)"
"incoterm_02068010","02068010","Svježi ili rashlađeni jestivi klaonički proizvodi životinja vrsta ovaca, koza, konja, magaraca, mula i mazgi, za proizvodnju farmaceutskih proizvoda"
"incoterm_02068091","02068091","Svježi ili rashlađeni jestivi klaonički proizvodi životinja vrsta konja, magaraca, mula i mazgi (osim za proizvodnju farmaceutskih proizvoda)"
"incoterm_02068099","02068099","Svježi ili rashlađeni jestivi klaonički proizvodi od ovaca i koza (osim za proizvodnju farmaceutskih proizvoda)"
"incoterm_02069010","02069010","Smrznuti jestivi klaonički proizvodi od ovaca, koza, konja, magaraca, mula i mazgi, za proizvodnju farmaceutskih proizvoda"
"incoterm_02069091","02069091","Smrznuti jestivi klaonički proizvodi od konja, magaraca, mula i mazgi (osim za proizvodnju farmaceutskih proizvoda)"
"incoterm_02069099","02069099","Smrznuti jestivi klaonički proizvodi od ovaca i koza (osim za proizvodnju farmaceutskih proizvoda)"
"incoterm_02071110","02071110","Svježe ili rashlađeno kokošje meso vrste ""Gallus domesticus"", očišćeno od perja i utrobe, s glavama i nogama, poznato kao ""83% pilići"""
"incoterm_02071130","02071130","Svježe ili rashlađeno kokošje meso vrste ""Gallus domesticus"", očišćeno od perja i utrobe, bez glave i nogu, ali s vratovima, srcima, jetrima i želucima, poznato kao ""70% pilići"""
"incoterm_02071190","02071190","Svježe ili rashlađeno kokošje meso vrste ""Gallus domesticus"", očišćeno od perja i utrobe, bez glave, nogu, vratova, srca, jetre i želudaca, poznato kao ""65% pilići"", i drugi oblici svježeg ili rashlađenoga kokošjeg mesa, neisječenog na komade (osim ""83% i 70% pilića"")"
"incoterm_02071210","02071210","Smrznuto kokošje meso vrste ""Gallus domesticus"", očišćeno od perja i utrobe, bez glave i nogu, ali s vratovima, srcima, jetrima i želucima, poznato kao ""70% pilići”"
"incoterm_02071290","02071290","Smrznuto kokošje meso vrste ""Gallus domesticus"", očišćeno od perja i utrobe, bez glave, nogu, vratova, srca, jetre i želudaca, poznato kao ""65% pilići"" i drugi oblici kokošjeg mesa, neisječenog na komade"
"incoterm_02071310","02071310","Svježi ili rashlađeni komadi kokošjeg mesa, bez kosti, kokoši vrste ""Gallus domesticus"""
"incoterm_02071320","02071320","Svježe ili rashlađene polovice ili četvrtine, s kostima, kokoši vrste ""Gallus domesticus"""
"incoterm_02071330","02071330","Svježa ili rashlađena cijela krila, sa ili bez vrhova, s kostima, kokoši vrste ""Gallus domesticus"""
"incoterm_02071340","02071340","Svježi ili rashlađeni hrptovi, vratovi, hrptovi s vratovima, zabaci i vrhovi krila, s kostima, kokoši vrste ""Gallus domesticus"""
"incoterm_02071350","02071350","Svježa ili rashlađena prsa i komadi od njih, s kostima, kokoši vrste ""Gallus domesticus"", s kostima"
"incoterm_02071360","02071360","Svježe ili rashlađene noge i komadi od njih, s kostima, kokoši vrste ""Gallus domesticus"", s kostima"
"incoterm_02071370","02071370","Svježi ili rashlađeni komadi mesa, kokoši vrste ""Gallus domesticus"", s kostima (osim polovica i četvrtina, cijelih krila, sa ili bez vrhova, hrptova, vratova, hrptova s vratovima, zabataka i vrhova krila, prsa, nogu i komada od njih)"
"incoterm_02071391","02071391","Svježa ili rashlađena jetra, kokoši vrste ""Gallus domesticus"""
